Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,91.889999,92.510002,91.849998,92.050003,89.142372,6197100
2019-11-26,92.199997,93.290001,92.139999,93.160004,90.217308,8501900
2019-11-27,93.220001,93.690002,92.949997,93.459999,90.507828,6540100
2019-11-29,93.550003,93.970001,93.169998,93.199997,90.256035,5384600
2019-12-02,93.099998,93.169998,91.800003,91.820000,88.919624,15918300
2019-12-03,91.750000,92.510002,91.690002,92.379997,89.461937,8011800
2019-12-04,92.190002,93.080002,92.099998,92.739998,89.810562,8346600
2019-12-05,92.559998,92.860001,92.290001,92.820000,89.888039,8042000
2019-12-06,92.750000,93.459999,92.730003,92.980003,90.042992,5488500
2019-12-09,93.080002,93.339996,92.739998,93.169998,90.226982,4989200
2019-12-10,93.269997,93.400002,92.419998,92.610001,89.684669,7777400
2019-12-11,92.580002,92.730003,91.430000,91.709999,88.813103,10772300
2019-12-12,91.750000,92.050003,90.370003,90.510002,87.651009,12401600
2019-12-13,90.660004,90.980003,89.919998,90.599998,87.738167,8585500
2019-12-16,89.919998,90.559998,89.389999,90.290001,88.301476,9229100
2019-12-17,90.550003,90.680000,89.449997,89.519997,87.548439,5680000
2019-12-18,89.589996,90.830002,89.589996,90.680000,88.682892,7373300
2019-12-19,90.559998,91.470001,90.470001,91.430000,89.416374,5837700
2019-12-20,91.709999,92.330002,91.540001,92.000000,89.973816,11474600
2019-12-23,92.320000,92.419998,91.430000,91.480003,89.465271,5863100
2019-12-24,91.779999,91.910004,91.410004,91.730003,89.709770,2597600
2019-12-26,91.839996,92.220001,91.699997,92.220001,90.188980,3042600
2019-12-27,92.300003,92.629997,92.160004,92.470001,90.433472,4802800
2019-12-30,92.209999,92.739998,92.029999,92.540001,90.501923,6634400
2019-12-31,92.470001,93.180000,92.269997,93.080002,91.030029,6703000
2020-01-02,93.440002,93.540001,91.599998,92.050003,90.022720,10936800
2020-01-03,91.800003,92.940002,91.550003,92.709999,90.668182,7953900
2020-01-06,92.570000,93.129997,92.339996,92.790001,90.746422,6055400
2020-01-07,92.580002,92.580002,91.389999,91.849998,89.827126,7390800
2020-01-08,91.910004,92.330002,91.620003,92.070000,90.042274,6224600
2020-01-09,92.089996,92.400002,91.870003,92.120003,90.091179,5057800
2020-01-10,92.300003,92.970001,92.099998,92.919998,90.873550,7226800
2020-01-13,93.120003,93.930000,92.959999,93.910004,91.841759,8778300
2020-01-14,93.919998,93.919998,93.089996,93.550003,91.489685,4770600
2020-01-15,93.830002,94.610001,93.800003,94.379997,92.301399,8431700
2020-01-16,94.570000,95.120003,94.389999,95.080002,92.985992,5844200
2020-01-17,95.000000,95.529999,95.000000,95.190002,93.093567,5833300
2020-01-21,95.330002,96.180000,95.099998,96.160004,94.042206,7160700
2020-01-22,96.349998,96.620003,95.360001,95.610001,93.504318,7816000
2020-01-23,95.660004,96.260002,95.230003,96.180000,94.061760,6064600
2020-01-24,96.330002,96.529999,95.629997,95.959999,93.846603,3984300
2020-01-27,95.430000,95.760002,95.199997,95.500000,93.396736,4866600
2020-01-28,95.599998,96.169998,95.480003,95.910004,93.797707,6030700
2020-01-29,96.129997,96.309998,95.459999,95.610001,93.504318,4804700
2020-01-30,95.239998,95.849998,95.169998,95.730003,93.621674,7056700
2020-01-31,95.540001,95.699997,94.300003,94.570000,92.487221,7803900
2020-02-03,94.709999,95.570000,94.559998,94.860001,92.770828,10804100
2020-02-04,95.110001,96.220001,94.919998,95.830002,93.719467,6893400
2020-02-05,95.919998,96.230003,95.650002,95.849998,93.739021,8037200
2020-02-06,96.150002,96.459999,95.989998,96.209999,94.091103,5207400
2020-02-07,96.290001,96.410004,95.949997,96.169998,94.051979,4246700
2020-02-10,96.599998,97.220001,96.379997,97.139999,95.000618,6186900
2020-02-11,97.449997,98.500000,97.449997,97.930000,95.773224,7281700
2020-02-12,98.169998,98.959999,97.839996,98.709999,96.536034,5726300
2020-02-13,98.620003,99.459999,98.489998,99.379997,97.191284,6023500
2020-02-14,99.489998,100.309998,99.360001,100.279999,98.071457,4262600
2020-02-18,100.360001,100.400002,99.650002,100.209999,98.003006,5860000
2020-02-19,100.230003,100.750000,98.900002,98.949997,96.770752,7103500
2020-02-20,99.110001,100.059998,98.690002,100.019997,97.817184,8793000
2020-02-21,99.790001,100.389999,99.790001,100.209999,98.003006,6280100
2020-02-24,99.000000,99.769997,98.430000,98.870003,96.692520,7534800
2020-02-25,99.070000,99.290001,95.959999,96.220001,94.100883,9336400
2020-02-26,96.410004,97.160004,95.139999,95.209999,93.113129,12259300
2020-02-27,93.980003,93.980003,90.190002,90.220001,88.233025,18952900
2020-02-28,88.430000,88.889999,85.320000,87.400002,85.475136,34734400
2020-03-02,88.489998,91.959999,87.959999,91.610001,89.592407,21369400
2020-03-03,91.900002,94.160004,90.889999,91.620003,89.602188,20821800
2020-03-04,93.070000,95.290001,92.959999,95.120003,93.025101,12692300
2020-03-05,93.599998,94.309998,92.040001,93.050003,91.000702,12086000
2020-03-06,90.769997,91.809998,88.589996,91.470001,89.455490,16538800
2020-03-09,85.150002,87.389999,84.099998,84.690002,82.824814,14725100
2020-03-10,86.790001,88.180000,83.400002,87.959999,86.022789,18279800
2020-03-11,85.839996,86.120003,82.070000,82.839996,81.015556,14714000
2020-03-12,78.019997,79.959999,73.360001,74.769997,73.123283,11980900
2020-03-13,78.410004,81.169998,74.389999,81.150002,79.362778,11713600
2020-03-16,72.849998,74.320000,66.849998,67.459999,65.974281,12956800
2020-03-17,68.260002,72.019997,66.059998,70.629997,69.074463,9973600
2020-03-18,66.300003,68.419998,61.029999,63.680000,62.277534,8574700
2020-03-19,63.009998,65.239998,60.810001,63.709999,62.306873,10115000
2020-03-20,64.379997,66.320000,60.500000,60.919998,59.578312,12254800
2020-03-23,60.660000,60.660000,56.270000,57.840000,56.566151,16261300
2020-03-24,60.910000,62.610001,59.290001,62.470001,61.094181,12192800
2020-03-25,62.380001,68.669998,61.680000,65.269997,64.448418,13699300
2020-03-26,66.129997,70.440002,65.599998,70.110001,69.227501,11439200
2020-03-27,67.940002,72.019997,67.610001,70.199997,69.316360,8318700
2020-03-30,70.790001,71.820000,68.489998,71.599998,70.698738,10447900
2020-03-31,71.220001,71.220001,67.889999,69.570000,68.694298,11231300
2020-04-01,66.330002,69.720001,63.709999,64.980003,64.162071,11527300
2020-04-02,64.070000,66.519997,63.980000,65.260002,64.438553,10395900
2020-04-03,64.709999,65.550003,63.009998,64.239998,63.431385,8666500
2020-04-06,66.970001,69.419998,66.889999,69.059998,68.190712,11485600
2020-04-07,71.730003,73.120003,69.720001,69.730003,68.852280,9338600
2020-04-08,70.849998,75.209999,70.099998,74.720001,73.779465,14284800
2020-04-09,76.339996,80.120003,76.339996,78.879997,77.887100,15642700
2020-04-13,78.510002,78.750000,75.129997,75.669998,74.717514,9757500
2020-04-14,77.349998,78.489998,76.769997,77.669998,76.692337,8697500
2020-04-15,75.430000,76.180000,73.860001,74.730003,73.789352,9204500
2020-04-16,74.500000,75.320000,73.360001,73.889999,72.959915,9036800
2020-04-17,76.110001,76.489998,73.830002,76.089996,75.132217,7339000
2020-04-20,74.669998,75.000000,73.230003,73.330002,72.406967,7404300
2020-04-21,71.470001,72.629997,70.989998,71.989998,71.083832,8919100
2020-04-22,73.320000,73.760002,72.459999,73.139999,72.219360,6503500
2020-04-23,73.190002,73.919998,72.169998,72.470001,71.557793,6051900
2020-04-24,72.800003,73.059998,71.809998,72.769997,71.854012,4913400
2020-04-27,73.349998,75.360001,73.190002,75.070000,74.125069,5471500
2020-04-28,76.730003,77.599998,75.669998,75.750000,74.796501,6052900
2020-04-29,77.349998,77.849998,75.760002,76.910004,75.941902,7196600
2020-04-30,75.680000,76.300003,74.790001,76.050003,75.092735,8778000
2020-05-01,74.410004,74.419998,72.779999,73.470001,72.545204,5740600
2020-05-04,72.660004,73.339996,71.589996,73.250000,72.327972,4894100
2020-05-05,73.870003,74.760002,73.550003,73.599998,72.673569,7107700
2020-05-06,74.050003,74.279999,72.330002,72.379997,71.468918,5740800
2020-05-07,73.029999,74.389999,72.930000,73.339996,72.416840,6427100
2020-05-08,74.519997,75.279999,74.120003,75.089996,74.144806,10120600
2020-05-11,74.190002,75.190002,73.650002,74.029999,73.098152,5544300
2020-05-12,74.300003,74.379997,70.550003,70.629997,69.740952,10986600
2020-05-13,70.160004,70.470001,68.570000,68.959999,68.091972,13770700
2020-05-14,67.959999,69.320000,66.440002,69.279999,68.407944,9536900
2020-05-15,68.809998,69.070000,67.830002,68.959999,68.091972,9552500
2020-05-18,71.370003,73.580002,71.330002,72.980003,72.061371,11786200
2020-05-19,72.720001,73.180000,72.139999,72.160004,71.251701,4982900
2020-05-20,73.029999,73.110001,72.290001,72.860001,71.942879,4393100
2020-05-21,72.500000,73.250000,72.019997,72.760002,71.844147,4139400
2020-05-22,72.650002,73.809998,72.459999,73.750000,72.821678,4405800
2020-05-26,75.940002,76.889999,75.720001,76.440002,75.477821,7415800
2020-05-27,78.180000,78.339996,76.040001,77.910004,76.929321,8143900
2020-05-28,78.830002,78.870003,77.599998,78.230003,77.245285,6195400
2020-05-29,77.680000,78.199997,76.949997,77.419998,76.445480,10074000
2020-06-01,77.360001,79.769997,77.199997,79.209999,78.212952,6401800
2020-06-02,79.849998,80.120003,79.070000,79.919998,78.914017,6300800
2020-06-03,80.730003,82.680000,80.599998,82.320000,81.283806,9371500
2020-06-04,82.000000,82.029999,80.849998,81.620003,80.592621,6583900
2020-06-05,84.330002,86.110001,84.230003,84.589996,83.525223,10281900
2020-06-08,85.680000,86.860001,85.660004,86.820000,85.727158,6919300
2020-06-09,85.339996,85.919998,84.309998,85.419998,84.344780,10855200
2020-06-10,84.980003,85.410004,82.580002,83.239998,82.192223,9362100
2020-06-11,79.580002,80.739998,77.809998,77.980003,76.998444,9634500
2020-06-12,80.629997,81.019997,78.529999,80.769997,79.753311,12788900
2020-06-15,77.849998,81.610001,77.480003,81.160004,80.670753,8011900
2020-06-16,84.070000,84.220001,81.410004,82.760002,82.261108,7372800
2020-06-17,83.209999,83.290001,81.580002,81.639999,81.147858,4686800
2020-06-18,80.910004,81.199997,80.330002,80.769997,80.283104,5687200
2020-06-19,81.970001,81.980003,79.239998,79.750000,79.269257,9850800
2020-06-22,79.459999,79.760002,78.260002,79.599998,79.120155,5325400
2020-06-23,80.389999,80.519997,79.110001,79.360001,78.881607,4775900
2020-06-24,78.339996,78.580002,75.339996,77.089996,76.625282,7585000
2020-06-25,76.489998,78.080002,76.400002,78.040001,77.569565,4919500
2020-06-26,77.739998,78.110001,76.440002,76.489998,76.028900,6942000
2020-06-29,77.349998,77.989998,76.169998,77.919998,77.450279,6311100
2020-06-30,78.010002,79.239998,77.699997,78.809998,78.334915,5965600
2020-07-01,79.019997,80.919998,78.910004,80.580002,80.094254,6281500
2020-07-02,81.959999,82.129997,80.019997,80.330002,79.845757,4294100
2020-07-06,82.010002,82.010002,80.230003,80.339996,79.855690,5060000
2020-07-07,79.529999,79.940002,78.730003,78.809998,78.334915,3941100
2020-07-08,79.000000,79.250000,78.019997,78.730003,78.255402,3753800
2020-07-09,78.610001,78.650002,77.059998,78.290001,77.818054,3988600
2020-07-10,78.199997,78.870003,77.940002,78.510002,78.036728,3588700
2020-07-13,78.930000,79.150002,77.290001,77.540001,77.072578,5494600
2020-07-14,77.360001,78.339996,77.230003,78.129997,77.659019,4973400
2020-07-15,79.440002,79.699997,78.389999,78.940002,78.464142,4716300
2020-07-16,78.559998,78.820000,77.820000,78.080002,77.609322,4039300
2020-07-17,78.430000,79.410004,77.930000,79.059998,78.583412,3474300
2020-07-20,78.940002,79.389999,77.849998,78.120003,77.649078,3111900
2020-07-21,78.699997,79.129997,78.129997,78.320000,77.847870,3804000
2020-07-22,78.010002,79.550003,77.820000,79.519997,79.040634,3350000
2020-07-23,79.279999,79.809998,78.199997,79.110001,78.633110,3681000
2020-07-24,78.980003,79.349998,78.459999,78.510002,78.036728,3584300
2020-07-27,78.529999,79.440002,77.639999,79.419998,78.941238,2592400
2020-07-28,79.300003,81.290001,79.160004,80.839996,80.352676,4053500
2020-07-29,81.430000,82.709999,81.410004,82.650002,82.151772,5100100
2020-07-30,81.620003,82.239998,81.129997,82.230003,81.734306,5807600
2020-07-31,82.150002,82.199997,80.820000,82.059998,81.565323,6989600
2020-08-03,82.160004,82.180000,80.650002,80.989998,80.501778,3616900
2020-08-04,80.800003,82.279999,80.790001,82.010002,81.515633,3995000
2020-08-05,82.239998,82.650002,81.309998,81.699997,81.207497,4036100
2020-08-06,81.459999,81.989998,81.220001,81.709999,81.217438,3137900
2020-08-07,81.459999,82.860001,81.330002,82.820000,82.320747,3941300
2020-08-10,83.000000,83.500000,82.599998,83.019997,82.519539,4031300
2020-08-11,83.949997,83.949997,81.540001,81.820000,81.326775,4076400
2020-08-12,82.349998,82.760002,82.110001,82.610001,82.112015,2989300
2020-08-13,82.559998,83.059998,81.470001,81.669998,81.177673,4181800
2020-08-14,81.470001,82.430000,81.389999,81.680000,81.187622,2213900
2020-08-17,81.839996,82.330002,81.389999,82.320000,81.823761,3122400
2020-08-18,82.349998,82.419998,81.440002,81.930000,81.436111,3523100
2020-08-19,82.010002,82.089996,80.339996,80.459999,79.974976,4337000
2020-08-20,80.080002,81.699997,79.849998,81.190002,80.700577,3036300
2020-08-21,81.089996,81.680000,80.419998,81.309998,80.819847,2933300
2020-08-24,81.470001,81.989998,80.449997,81.949997,81.455986,3110600
2020-08-25,82.139999,82.339996,81.349998,82.150002,81.654785,3043100
2020-08-26,82.000000,82.059998,80.879997,81.379997,80.889427,4668400
2020-08-27,81.489998,82.790001,81.489998,82.540001,82.042435,4541700
2020-08-28,82.769997,83.089996,81.900002,83.050003,82.549362,3770000
2020-08-31,82.970001,83.010002,81.959999,82.250000,81.754181,3392800
2020-09-01,81.989998,82.410004,81.400002,82.339996,81.843636,3026500
2020-09-02,82.360001,83.970001,81.769997,83.839996,83.334595,5049500
2020-09-03,83.879997,84.529999,82.180000,82.800003,82.300873,5707500
2020-09-04,83.000000,83.580002,81.019997,82.419998,81.923157,7279500
2020-09-08,82.070000,82.070000,80.790001,81.389999,80.899368,5431300
2020-09-09,81.730003,83.139999,81.629997,82.129997,81.634903,4645000
2020-09-10,82.019997,82.309998,80.989998,81.029999,80.541534,4574500
2020-09-11,81.239998,81.489998,79.910004,80.580002,80.094254,4298300
2020-09-14,81.169998,82.940002,80.949997,82.739998,82.241226,4373400
2020-09-15,83.040001,84.449997,82.980003,83.699997,83.195442,4166400
2020-09-16,84.199997,84.970001,83.750000,84.150002,83.642731,3958900
2020-09-17,83.360001,83.919998,82.059998,82.570000,82.072250,4258900
2020-09-18,82.599998,82.599998,80.639999,80.790001,80.302986,6820100
2020-09-21,79.540001,79.809998,78.089996,78.540001,78.066551,5721100
2020-09-22,78.680000,80.070000,78.480003,79.459999,78.981003,4788600
2020-09-23,79.019997,79.019997,76.620003,76.709999,76.709999,4149800
2020-09-24,76.709999,78.120003,76.360001,77.050003,77.050003,7611800
2020-09-25,76.790001,78.720001,76.639999,78.610001,78.610001,3292100
2020-09-28,79.750000,80.510002,79.510002,80.180000,80.180000,3960900
2020-09-29,80.120003,80.209999,79.000000,79.580002,79.580002,4520900
2020-09-30,80.000000,80.690002,79.040001,79.839996,79.839996,4276500
2020-10-01,80.120003,81.449997,79.809998,81.379997,81.379997,18707600
2020-10-02,80.260002,82.940002,79.900002,82.680000,82.680000,18898100
2020-10-05,82.900002,83.419998,81.639999,83.139999,83.139999,12648700
2020-10-06,83.330002,83.769997,82.290001,82.620003,82.620003,20491400
2020-10-07,83.120003,83.160004,82.330002,82.709999,82.709999,3424200
2020-10-08,83.169998,84.320000,82.970001,84.010002,84.010002,4177600
2020-10-09,84.330002,84.570000,83.400002,83.650002,83.650002,10875100
2020-10-12,83.760002,84.320000,83.300003,84.150002,84.150002,5738400
2020-10-13,84.040001,84.040001,82.320000,82.800003,82.800003,4940500
2020-10-14,82.699997,82.930000,81.709999,81.830002,81.830002,5918500
2020-10-15,81.029999,82.820000,81.029999,82.169998,82.169998,4817100
2020-10-16,82.190002,82.309998,81.529999,81.660004,81.660004,4338800
2020-10-19,81.849998,82.070000,80.220001,80.339996,80.339996,4996400
2020-10-20,80.910004,81.489998,80.690002,80.940002,80.940002,7054500
2020-10-21,80.639999,81.040001,80.330002,80.620003,80.620003,4019900
2020-10-22,80.570000,80.879997,80.239998,80.519997,80.519997,3928800
2020-10-23,80.769997,81.309998,80.389999,81.010002,81.010002,2641500
2020-10-26,80.320000,80.410004,79.239998,79.980003,79.980003,3991400
2020-10-27,80.080002,80.489998,78.779999,78.800003,78.800003,3414500
2020-10-28,77.459999,78.269997,76.610001,76.870003,76.870003,6085000
2020-10-29,76.970001,78.589996,76.330002,78.040001,78.040001,5759000
2020-10-30,77.550003,78.099998,76.620003,77.510002,77.510002,6507300
2020-11-02,78.360001,79.480003,77.879997,79.459999,79.459999,6576200
2020-11-03,80.080002,81.349998,79.889999,80.989998,80.989998,7949700
2020-11-04,81.389999,82.440002,80.599998,81.160004,81.160004,6721800
2020-11-05,81.800003,82.209999,81.110001,81.419998,81.419998,5409000
2020-11-06,81.459999,82.070000,80.650002,80.959999,80.959999,6837600
2020-11-09,85.000000,88.760002,83.099998,83.300003,83.300003,17599700
2020-11-10,83.300003,84.489998,82.959999,84.230003,84.230003,9468700
2020-11-11,84.849998,85.180000,83.980003,84.769997,84.769997,5307900
2020-11-12,84.339996,84.790001,83.220001,83.750000,83.750000,3756800
2020-11-13,84.129997,86.080002,84.129997,85.940002,85.940002,4854100
2020-11-16,87.400002,87.809998,85.720001,86.639999,86.639999,7907600
2020-11-17,85.989998,87.040001,85.540001,86.709999,86.709999,5134800
2020-11-18,86.949997,87.370003,85.019997,85.150002,85.150002,7843200
2020-11-19,85.050003,85.379997,84.029999,85.320000,85.320000,4440100
2020-11-20,85.279999,85.440002,84.470001,84.919998,84.919998,3544800
2020-11-23,85.360001,85.730003,84.690002,84.849998,84.849998,4796400
2020-11-24,85.870003,86.269997,84.980003,85.089996,85.089996,4415500
2020-11-25,85.239998,85.320000,84.430000,85.105003,85.105003,2800248
